Kanji,Pronunciation
無理,"['む', 'り']"
慣れ,"['な', 'れ']"
武士,"['ぶ', 'し']"
掃く,"['は', 'く']"
無くす,"['な', 'く', 'す']"
感度,"['かん', 'ど']"
出入り,"['で', 'い', 'り']"
俄,['にわか']
運送,"['うん', 'そう']"
勤め先,"['つと', 'め', 'さき']"
逃走,"['とう', 'そう']"
近眼,"['きん', 'がん']"
向け,"['む', 'け']"
退屈,"['たい', 'くつ']"
着物,"['き', 'もの']"
罹る,"['かか', 'る']"
起きる,"['お', 'き', 'る']"
保温,"['ほ', 'おん']"
状,['じょう']
腿,['もも']
縄,['なわ']
気分,"['き', 'ぶん']"
既婚,"['き', 'こん']"
儀式,"['ぎ', 'しき']"
暖房,"['だん', 'ぼう']"
尉,['じょう']
弱まる,"['よわ', 'ま', 'る']"
清純,"['せい', 'じゅん']"
容積,"['よう', 'せき']"
統治,"['とう', 'じ']"
批判,"['ひ', 'はん']"
約束,"['やく', 'そく']"
衝突,"['しょう', 'とつ']"
解決,"['かい', 'けつ']"
数える,"['かぞ', 'え', 'る']"
着飾る,"['き', 'かざ', 'る']"
夫妻,"['ふ', 'さい']"
感動,"['かん', 'どう']"
公園,"['こう', 'えん']"
利害,"['り', 'がい']"
挑む,"['いど', 'む']"
皇居,"['こう', 'きょ']"
一度に,"['いち', 'ど', 'に']"
技,['わざ']
衣服,"['い', 'ふく']"
独占,"['どく', 'せん']"
発音,"['はつ', 'おん']"
種類,"['しゅ', 'るい']"
総会,"['そう', 'かい']"
肌着,"['はだ', 'ぎ']"
遠い,"['とお', 'い']"
願書,"['がん', 'しょ']"
給食,"['きゅう', 'しょく']"
見込み,"['み', 'こ', 'み']"
連絡,"['れん', 'らく']"
負債,"['ふ', 'さい']"
崩壊,"['ほう', 'かい']"
膨大,"['ぼう', 'だい']"
規約,"['き', 'やく']"
書道,"['しょ', 'どう']"
しいんと,[]
恋愛,"['れん', 'あい']"
補助,"['ほ', 'じょ']"
航空,"['こう', 'くう']"
勝利,"['しょう', 'り']"
尽きる,"['つ', 'き', 'る']"
乗り込む,"['の', 'り', 'こ', 'む']"
助かる,"['たす', 'か', 'る']"
熱い,"['あつ', 'い']"
中枢,"['ちゅう', 'すう']"
子孫,"['し', 'そん']"
刀,['かたな']
